,Area,YearBuilt,Rooms,Location,Price,Floor
814,۸۰,۱۴۰۱,۲, استاد معین,۶۲۰۰۰۰۰۰۰۰,۴
815,۱۵۰,۱۴۰۰,۳, امانیه,۲۴۰۰۰۰۰۰۰۰۰,۱ 
816,۱۱۵,۱۳۹۹,۲, یوسف‌آباد,۱۸۰۰۰۰۰۰۰۰۰,۱ 
817,۶۳,۱۴۰۰,۱, مبارک‌آباد بهشتی,۱۹۲۶۰۰۰۰۰۰,۳ 
818,۱۰۳,۱۳۹۵,۲, شهرک راه‌آهن,۷۶۲۰۰۰۰۰۰۰,۱
819,۱۵۷,۱۳۸۷,۳, سعادت‌آباد,۲۰۰۰۰۰۰۰۰۰۰,۲ 
820,۱۲۵,۱۳۸۵,۲, آجودانیه,۱۹۰۰۰۰۰۰۰۰۰,۱
821,۱۰۰,۱۳۹۷,۲, درب دوم,۱۴۵۰۰۰۰۰۰۰۰,۱
822,۸۸,۱۴۰۱,۲, اکباتان,۱۰۶۰۰۰۰۰۰۰۰,۳۰
823,۵۱,۱۳۹۰,۱, جوادیه,۲۵۵۰۰۰۰۰۰۰,۳ 
824,۹۹,۱۳۷۵,۱, شکوفه,۴۳۵۶۰۰۰۰۰۰,0
825,۴۷,۱۳۸۰,۱, مسعودیه,۲۰۰۰۰۰۰۰۰۰,۲
826,۶۸,۱۳۷۵,۲, جنت‌آباد مرکزی,۶۸۰۰۰۰۰۰۰۰,۱ 
827,۱۰۷,۱۳۹۴,۲, امیرآباد,۲۰۰۰۰۰۰۰۰۰۰,۲
828,۸۵,۱۴۰۲,۲, سعادت‌آباد,۱۶۰۰۰۰۰۰۰۰۰,۱
829,۶۲,۱۴۰۰,۲, مبارک‌آباد بهشتی,۱۷۵۰۰۰۰۰۰۰,۴
830,۷۱,۱۳۹۶,۲, خواجه نظام الملک,۵۱۰۰۰۰۰۰۰۰,۲ 
831,۱۳۳,۱۳۸۱,۳, ایران,۱۰۶۰۰۰۰۰۰۰۰,۵ 
832,۸۹,۱۴۰۰,۲, مبارک‌آباد بهشتی,۲۴۰۳۰۰۰۰۰۰,۲
833,۷۵,۱۳۹۹,۲, شهرک راه‌آهن,۷۶۰۰۰۰۰۰۰۰,۱
834,۵۰,۱۳۹۱,۱, دریاچه شهدای خلیج فارس,۱۵۰۰۰۰۰۰۰۰,۲ 
835,۸۵,۱۳۸۷,۲, ولنجک,۱۶۲۰۰۰۰۰۰۰۰,۹
